,polygon
0, "POLYGON ((35.1219451 32.8659524, 35.1500976 32.9091976, 35.1679504 32.9305241, 35.1906097 32.9483883, 35.2173889 32.9483883, 35.31680936685628 32.92704044585708, 35.317755620658865 32.926197547980344, 35.31935057844553 32.924872143110015, 35.32198468453114 32.92239351799538, 35.3220100121145 32.92237161645542, 35.32484402116715 32.91987108980083, 35.32621374840341 32.91844082056825, 35.32735722444385 32.91737056314623, 35.329703194969206 32.914870036491635, 35.330442812275685 32.91398257512054, 35.33200827660805 32.91236950983704, 35.33402312980924 32.90986898318244, 35.33467187614796 32.908956718728234, 35.33605116883449 32.90736845652785, 35.33784874334523 32.904867929873255, 35.33890094002023 32.90306944981976, 35.33943119093133 32.902367403218655, 35.34108925655428 32.89986687656406, 35.34235145465526 32.89736634990947, 35.343130003892504 32.895417649493815, 35.34343738473773 32.89486582325487, 35.344604846014455 32.892365296600275, 35.34545560027376 32.88986476994568, 35.34605389022163 32.88736424329108, 35.346439635589945 32.88486371663649, 35.34663393672902 32.882363189981895, 35.34664163488323 32.879862663327295, 35.34645137069037 32.8773621366727, 35.346033028874345 32.8748616100181, 35.34533176384976 32.87236108336351, 35.34425658291849 32.869860556708915, 35.343130003892504 32.86800431834119, 35.342792041791654 32.867360030054314, 35.3410960775421 32.86485950339972, 35.33890094002023 32.86261521985314, 35.33862304191856 32.86235897674513, 35.33538963067691 32.85985845009053, 35.33467187614796 32.859373309174195, 35.330442812275685 32.857453808392115, 35.33001899221089 32.857357923435934, 35.32621374840341 32.8563853157818, 35.32198468453114 32.856215019226575, 35.317755620658865 32.85681229973144, 35.31605532354351 32.857357923435934, 35.31352655678659 32.85806100100009, 35.30976590057527 32.85985845009053, 35.30929749291432 32.86007843667198, 35.30568528324956 32.86235897674513, 35.305068429042045 32.862779517012164, 35.302360246778285 32.86485950339972, 35.30083936516977 32.86621005202424, 35.29952683192724 32.867360030054314, 35.29704772050082 32.869860556708915, 35.2966103012975 32.870335111221024, 35.29452653728999 32.87236108336351, 35.292437280664025 32.8748616100181, 35.292381237425225 32.874930013157204, 35.290037748929166 32.8773621366727, 35.28815217355295 32.87984648351282, 35.28813707344599 32.879862663327295, 35.285875325808775 32.882363189981895, 35.28410376728902 32.88486371663649, 35.28392310968068 32.885131144152886, 35.28201851195456 32.88736424329108, 35.28027431113971 32.88986476994568, 35.279694045808405 32.89076052226178, 35.278324520374845 32.892365296600275, 35.2764026709664 32.89486582325487, 35.27546498193613 32.89614078946102, 35.27425300083144 32.89736634990947, 35.27184030549997 32.89986687656406, 35.271235918063866 32.90046704400065, 35.268753020292266 32.902367403218655, 35.26700685419159 32.90367390137106, 35.265074575801165 32.904867929873255, 35.26277779031932 32.9062266387716, 35.260662529885494 32.90736845652785, 35.258548726447046 32.90846256818296, 35.2557929411717 32.90986898318244, 35.25431966257477 32.91059547865544, 35.25074416610171 32.91236950983704, 35.2500905987025 32.91268248880078, 35.245861534830226 32.91466944236452, 35.24542663263346 32.914870036491635, 35.24163247095795 32.9165399161367, 35.23983786684229 32.91737056314623, 35.23740340708568 32.91846519546942, 35.234425459436785 32.91987108980083, 35.233174343213406 32.9204513551334, 35.22894527934113 32.92231534246951, 35.22878539511639 32.92237161645542, 35.22471621546886 32.923631280158, 35.220487151596586 32.92454385970993, 35.21818651702178 32.924872143110015, 35.21625808772431 32.92509122622091, 35.21202902385204 32.92542941646463, 35.207799959979766 32.92560597749248, 35.20357089610749 32.92543841899724, 35.20016124670606 32.924872143110015, 35.19934183223522 32.924700293061974, 35.19511276836295 32.92305536087428, 35.19394521700161 32.92237161645542, 35.19088370449067 32.92036803108283, 35.19031523942014 32.91987108980083, 35.18757203677667 32.91737056314623, 35.18665464061841 32.9165529333884, 35.18507353076001 32.914870036491635, 35.182425576746134 32.91239659646547, 35.182399951190035 32.91236950983704, 35.180098437694056 32.90986898318244, 35.17819651287386 32.90803628298213, 35.17762557144789 32.90736845652785, 35.17555156508393 32.904867929873255, 35.17396744900159 32.90310548894698, 35.173452695079156 32.902367403218655, 35.17169569856689 32.89986687656406, 35.169738385129314 32.89750397888172, 35.169645267634074 32.89736634990947, 35.16791459874258 32.89486582325487, 35.16585192320651 32.892365296600275, 35.16550932125704 32.891964277413614, 35.16405307058807 32.88986476994568, 35.16225400760941 32.88736424329108, 35.16128025738477 32.886000034002365, 35.16066050085238 32.88486371663649, 35.15940011432143 32.882363189981895, 35.15812053607024 32.879862663327295, 35.157051193512494 32.87791132955248, 35.15682573255076 32.8773621366727, 35.15574597734453 32.8748616100181, 35.15446286071865 32.87236108336351, 35.15287488165877 32.869860556708915, 35.15282212964022 32.869783532415, 35.151498658115884 32.867360030054314, 35.14984983984018 32.86485950339972, 35.14859306576795 32.86321532220602, 35.14804890183371 32.86235897674513, 35.14632890687453 32.85985845009053, 35.145296845345676 32.85862518122883, 35.1219451 32.8659524))"
1, "POLYGON ((35.2963531 32.8134533, 35.2359283 32.8301872, 35.19040990177926 32.84446978388994, 35.19019066153043 32.844855290162954, 35.188995088832634 32.847355816817554, 35.18806916385995 32.84985634347215, 35.18734991409184 32.85235687012674, 35.18679183809387 32.85485739678134, 35.18665464061841 32.8556132253375, 35.186163958658206 32.857357923435934, 35.18562218431136 32.85985845009053, 35.18522310816499 32.86235897674513, 35.18493874932948 32.86485950339972, 35.18474898939621 32.867360030054314, 35.18464076729435 32.869860556708915, 35.1846079367054 32.87236108336351, 35.18465152691113 32.8748616100181, 35.184780291529854 32.8773621366727, 35.18501171553632 32.879862663327295, 35.18537409858384 32.882363189981895, 35.18591104599966 32.88486371663649, 35.18665464061841 32.88725987764299, 35.18667719724878 32.88736424329108, 35.187366202417984 32.88986476994568, 35.188344100571356 32.892365296600275, 35.189756808377545 32.89486582325487, 35.19088370449067 32.89635427174759, 35.191582234402254 32.89736634990947, 35.19383906202664 32.89986687656406, 35.19511276836295 32.90095707540208, 35.19705931608323 32.902367403218655, 35.19934183223522 32.90375667220262, 35.2021991790332 32.904867929873255, 35.20357089610749 32.90540534191762, 35.207799959979766 32.906232676951824, 35.21202902385204 32.906235354650725, 35.21625808772431 32.90540280926718, 35.217584782980126 32.904867929873255, 35.220487151596586 32.903736326927074, 35.22270270244172 32.902367403218655, 35.22471621546886 32.90095407199952, 35.22598924415991 32.89986687656406, 35.22837294947863 32.89736634990947, 35.22894527934113 32.896634535846076, 35.23038371102581 32.89486582325487, 35.23194833814981 32.892365296600275, 35.233096143015835 32.88986476994568, 35.233174343213406 32.889667184221985, 35.23435217925021 32.88736424329108, 35.235340740458554 32.88486371663649, 35.23611496431907 32.882363189981895, 35.23673982008665 32.879862663327295, 35.23726280080901 32.8773621366727, 35.23740340708568 32.87663300191383, 35.23793097359149 32.8748616100181, 35.23862174078205 32.87236108336351, 35.239284026499234 32.869860556708915, 35.23995978860378 32.867360030054314, 35.240691344728084 32.86485950339972, 35.24152350453497 32.86235897674513, 35.24163247095795 32.862093092304264, 35.243078645929344 32.85985845009053, 35.244931614387156 32.857357923435934, 35.245861534830226 32.85631196029076, 35.24784007966934 32.85485739678134, 35.2500905987025 32.853447817209734, 35.2525423692948 32.85235687012674, 35.25431966257477 32.8516924019543, 35.258548726447046 32.85041620698022, 35.260497239489624 32.84985634347215, 35.26277779031932 32.84930270422054, 35.26700685419159 32.84816557279559, 35.26949631399094 32.847355816817554, 35.271235918063866 32.84685123211115, 35.27546498193613 32.84534624396955, 35.27665320133061 32.844855290162954, 35.279694045808405 32.84366276814525, 35.282644016329954 32.84235476350836, 35.28392310968068 32.841806947380995, 35.28815217355295 32.8400273459549, 35.288624222913555 32.83985423685377, 35.292381237425225 32.83862105984051, 35.2966103012975 32.837412897739696, 35.29686351528593 32.83735371019917, 35.30083936516977 32.836570921531774, 35.305068429042045 32.835889831638355, 35.30929749291432 32.835540264958084, 35.31352655678659 32.83578762277376, 35.317755620658865 32.836661120288795, 35.3200911539248 32.83735371019917, 35.32198468453114 32.83800769226196, 35.32621374840341 32.83944502226145, 35.32772720478554 32.83985423685377, 35.330442812275685 32.84071254719597, 35.33467187614796 32.84155033402822, 35.33890094002023 32.84200251434302, 35.343130003892504 32.84233437461396, 35.34328113241173 32.84235476350836, 35.34735906776478 32.84306104417406, 35.35158813163705 32.84450452694422, 35.352185037674495 32.844855290162954, 35.355817195509324 32.84712987270558, 35.35608936669955 32.847355816817554, 35.359192815941256 32.84985634347215, 35.36004625938159 32.85048631576085, 35.3624241456156 32.85235687012674, 35.364275323253864 32.85362891221158, 35.3662088696868 32.85485739678134, 35.36850438712614 32.85619938424274, 35.37088333977537 32.857357923435934, 35.37273345099841 32.85825581526109, 35.37684426433363 32.85985845009053, 35.376962514870684 32.8599080774838, 35.38119157874296 32.86160697481781, 35.38299708499639 32.86235897674513, 35.38542064261523 32.86351525816926, 35.387655621905566 32.86485950339972, 35.3896497064875 32.866221614319436, 35.390861863952935 32.867360030054314, 35.3931738320663 32.869860556708915, 35.39387877035978 32.87077605089708, 35.39472023814107 32.87236108336351, 35.39572290180869 32.8748616100181, 35.39643915621719 32.8773621366727, 35.396907368792164 32.879862663327295, 35.39718162936495 32.882363189981895, 35.39731811131093 32.88486371663649, 35.39736791631821 32.88736424329108, 35.397376274375404 32.88986476994568, 35.39738454624018 32.892365296600275, 35.39743234008986 32.89486582325487, 35.39755923611636 32.89736634990947, 35.3978069657575 32.89986687656406, 35.39810783423205 32.90169967947682, 35.39817629004016 32.902367403218655, 35.39855805891223 32.904867929873255, 35.3991218649074 32.90736845652785, 35.39973013158559 32.909235456131775, 35.4240692 32.9040093, 35.4247558 32.8965145, 35.4220092 32.8774865, 35.4158294 32.8532632, 35.408963 32.8434566, 35.3574646 32.8146075, 35.3203857 32.8088365, 35.2963531 32.8134533))"
